1,1,Primo:pasta,Primo:pasta,Primo:pasta,Primo:pasta
2,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
3,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
2,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
12,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
12,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
12,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
12,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
12,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
12,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
12,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
122,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
122,2,Primo:asd,Secondo:zuppa,Antipasto:insalata,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
2,2,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
1,3,Primo:pasta,Secondo:zuppa,Antipasto:fritto,Drink:caffè,Dolce:gelato
